Species,Model,class,n.patches,total.area,prop.landscape,patch.density,total.edge,edge.density,landscape.shape.index,largest.patch.index,mean.patch.area,sd.patch.area,min.patch.area,max.patch.area,perimeter.area.frac.dim,mean.perim.area.ratio,sd.perim.area.ratio,min.perim.area.ratio,max.perim.area.ratio,mean.shape.index,sd.shape.index,min.shape.index,max.shape.index,mean.frac.dim.index,sd.frac.dim.index,min.frac.dim.index,max.frac.dim.index,total.core.area,prop.landscape.core,mean.patch.core.area,sd.patch.core.area,min.patch.core.area,max.patch.core.area,prop.like.adjacencies,aggregation.index,lanscape.division.index,splitting.index,effective.mesh.size,patch.cohesion.index,range.size,n.cells,nwidth_mcp,nwidth_kd,sd.elev,sp.dist.equal.mean,median.long,median.lat
Coincya monensis ssp. puberula,Occurrence,1,3,27500,45.23026316,4.93E-05,1780,0.029276316,2.617647059,0.386513158,9166.666667,12423.09677,1500,23500,1.54,0.088907801,0.030648383,0.058723404,0.12,1.504,0.642889313,1.1,2.225806452,1.075529607,0.074650576,1.0243634,1.161189519,12600,0.207236842,4200,6415.605973,200,11600,0.72143975,89.34108527,0.848308193,6.592313865,9222.861842,0.961438799,60800,608,89,246,372.0225194,65.49258552,-8.08,41.78
Coincya monensis ssp. puberula,SDM70.bin,1,1,40000,88.30022075,2.21E-05,1120,0.024724062,1.4,0.883002208,40000,NA,40000,40000,NA,0.028,NA,0.028,0.028,1.4,NA,1.4,1.4,1.063505489,NA,1.063505489,1.063505489,29400,0.649006623,29400,NA,29400,29400,0.869158879,98.02371542,0.220307102,1.28255625,35320.0883,0.996835413,45300,453,89,246,372.0225194,65.49258552,-8.08,41.78
Coincya monensis ssp. puberula,SDM.bin,1,2,39400,67.35042735,3.42E-05,1640,0.028034188,2.05,0.630769231,19700,24324.47327,2500,36900,1.385,0.063241192,0.035014241,0.038482385,0.088,1.474,0.509479501,1.1,1.820512821,1.070581882,0.065362804,1.0243634,1.116800364,24500,0.418803419,12250,16192.74529,800,23700,0.811494253,94.38502674,0.600303894,2.501900779,23382.22222,0.982842899,58500,585,89,246,372.0225194,65.49258552,-8.08,41.78
Coincya monensis ssp. puberula,ESM70.bin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,927300,9273,89,246,372.0225194,65.49258552,-8.08,41.78
Coincya monensis ssp. puberula,ESM.bin,1,1,54500,86.645469,1.59E-05,1500,0.023847377,1.595744681,0.86645469,54500,NA,54500,54500,NA,0.027522936,NA,0.027522936,0.027522936,1.606,NA,1.595744681,1.595744681,1.08691545,NA,1.08691545,1.08691545,40500,0.643879173,40500,NA,40500,40500,0.871244635,97.31543624,0.24925627,1.332012457,47221.7806,0.996914282,62900,629,89,246,372.0225194,65.49258552,-8.08,41.78
Coincya transtagana,ESM.bin,1,2,25500,38.23088456,3.00E-05,1240,0.018590705,1.9375,0.35832084,12750,15768.48122,1600,23900,1.219,0.084257322,0.057618848,0.043514644,0.125,1.466,0.302231124,1.25,1.677419355,1.081810966,0.030151159,1.060490876,1.103131055,14400,0.215892054,7200,10040.91629,100,14300,0.783216783,93.72384937,0.871030751,7.75378636,8602.248876,0.963852126,66700,667,31,118,267.6046713,112.6044034,-6.99,38.15
Coincya transtagana,SDM.bin,1,2,23000,34.43113772,2.99E-05,1340,0.02005988,2.161290323,0.318862275,11500,13859.29291,1700,21300,1.377,0.085584093,0.045343881,0.053521127,0.117647059,1.583,0.557828683,1.111111111,1.9,1.093074819,0.058304064,1.05184762,1.134302018,11300,0.169161677,5650,7707.463915,200,11100,0.74573055,91.60839161,0.897679193,9.773183232,6835.02994,0.960423481,66800,668,31,118,267.6046713,112.6044034,-6.99,38.15
Coincya transtagana,Occurrence,1,2,23000,34.43113772,2.99E-05,1340,0.02005988,2.161290323,0.318862275,11500,13859.29291,1700,21300,1.377,0.085584093,0.045343881,0.053521127,0.117647059,1.583,0.557828683,1.111111111,1.9,1.093074819,0.058304064,1.05184762,1.134302018,11300,0.169161677,5650,7707.463915,200,11100,0.74573055,91.60839161,0.897679193,9.773183232,6835.02994,0.960423481,66800,668,31,118,267.6046713,112.6044034,-6.99,38.15
Coincya transtagana,ESM70.bin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,927300,9273,31,118,267.6046713,112.6044034,-6.99,38.15
Coincya transtagana,SDM70.bin,1,2,11200,44.2687747,7.91E-05,720,0.028458498,1.636363636,0.418972332,5600,7071.067812,600,10600,1.121,0.128301887,0.101396444,0.056603774,0.2,1.341,0.161624407,1.2,1.428571429,1.072294876,0.012601413,1.063384331,1.08120542,5400,0.213438735,2700,3818.376618,0,5400,0.723076923,93.06930693,0.823899764,5.678584102,4455.335968,0.948362864,25300,253,31,118,267.6046713,112.6044034,-6.99,38.15
Consolida uechtritziana,ESM70.bin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,927300,9273,293,562,474.122608,87.61831158,20.385,42.665
Consolida uechtritziana,SDM70.bin,1,15,426900,21.70530811,7.63E-06,14260,0.007250356,5.442748092,0.061012813,28460,35408.55022,2500,120000,1.479,0.05198747,0.01985878,0.021166667,0.08,1.443,0.538159941,1,2.627906977,1.0580387,0.064282315,1,1.183105212,294400,0.149684767,19626.66667,27895.88978,900,95100,0.845854502,93.07719757,0.992321621,130.2358249,15101.83547,0.961019374,1966800,19668,293,562,474.122608,87.61831158,20.385,42.665
Consolida uechtritziana,SDM.bin,1,4,27500,19.39351199,2.82E-05,1420,0.010014104,2.088235294,0.131875882,6875,8100.360074,900,18700,1.111,0.088493761,0.061694202,0.040641711,0.177777778,1.186,0.199560174,1,1.357142857,1.039051081,0.04300644,1,1.084582587,15200,0.10719323,3800,5264.34548,0,11500,0.771336554,92.82945736,0.980807411,52.10344381,2721.509168,0.923657597,141800,1418,293,562,474.122608,87.61831158,20.385,42.665
Consolida uechtritziana,ESM.bin,1,4,28000,19.7461213,2.82E-05,1600,0.011283498,2.352941176,0.135401975,7000,8343.860018,900,19200,1.274,0.090572917,0.059650268,0.048958333,0.177777778,1.262,0.324336493,1,1.678571429,1.049113564,0.054782191,1,1.107121697,14300,0.100846262,3575,4826.575736,0,10600,0.75,91.25475285,0.979864964,49.66467421,2855.148096,0.928914661,141800,1418,293,562,474.122608,87.61831158,20.385,42.665
Consolida uechtritziana,Occurrence,1,4,25200,17.51216122,2.78E-05,1500,0.010423905,2.34375,0.113273106,6300,6912.307864,1000,16300,1.291,0.086772324,0.050412965,0.051533742,0.16,1.233,0.291761174,1,1.615384615,1.043852272,0.049968657,1,1.10261912,12400,0.086170952,3100,3911.521443,0,8700,0.740932642,90.88983051,0.985410879,68.54422377,2099.374566,0.920346932,143900,1439,293,562,474.122608,87.61831158,20.385,42.665
Corydalis intermedia,ESM.bin,1,7,3279800,67.04004252,1.43E-06,33340,0.006814791,4.592286501,0.663205445,468542.8571,1224136.392,2500,3244600,1.407,0.060571148,0.027614807,0.009671454,0.08,1.589,1.236065806,1,4.346260388,1.049880008,0.071453237,1,1.196282153,2947100,0.602395601,421014.2857,1105792.002,900,2928700,0.950433373,98.00101176,0.560143616,2.273469332,2151909.388,0.998633357,4892300,48923,2223,2303,433.2676566,178.8889907,14.62,53.92
Corydalis intermedia,SDM.bin,1,14,3483000,58.7828259,2.36E-06,35940,0.006065618,4.804812834,0.560892459,248785.7143,885060.6601,1500,3323400,1.375,0.061235834,0.03002578,0.008744057,0.133333333,1.454,0.797724418,1,3.980821918,1.053145529,0.057899266,1.001036525,1.184140675,3128000,0.52791467,223428.5714,808088.7351,100,3030800,0.949704018,97.94619404,0.685261392,3.177239701,1864889.199,0.997435602,5925200,59252,2223,2303,433.2676566,178.8889907,14.62,53.92
Corydalis intermedia,ESM70.bin,1,23,3180100,46.89582965,3.39E-06,45300,0.006680234,6.344537815,0.206349909,138265.2174,387347.877,2400,1399300,1.398,0.051572515,0.021523234,0.009352027,0.083333333,1.483,0.681420213,1,3.603375527,1.057200788,0.058292685,1.001036525,1.181412478,2734900,0.403306199,118908.6957,345796.899,800,1226300,0.931225044,96.98316072,0.918656777,12.29358719,551604.6614,0.991853824,6781200,67812,2223,2303,433.2676566,178.8889907,14.62,53.92
Corydalis intermedia,SDM70.bin,1,15,2767900,39.50643716,2.14E-06,40300,0.005752048,6.051051051,0.333418972,184526.6667,596821.7256,2400,2336000,1.454,0.049813075,0.021005795,0.011027397,0.083333333,1.685,0.86917844,1,4.209150327,1.076302134,0.067046779,1,1.196169306,2373300,0.338742828,158220,532223.4429,800,2078000,0.9297579,96.94320763,0.888004648,8.928941947,784661.8381,0.99435858,7006200,70062,2223,2303,433.2676566,178.8889907,14.62,53.92
Corydalis intermedia,Occurrence,1,30,2087400,35.3838591,5.09E-06,49100,0.008323021,8.494809689,0.316037496,69580,339199.8012,2500,1864400,1.602,0.06387932,0.014815281,0.019588071,0.088,1.381,1.080600482,1,6.664233577,1.039625077,0.059101763,1,1.263199453,1620400,0.274676657,54013.33333,274586.1045,800,1507400,0.888921566,94.7755614,0.899950983,9.995100661,590219.1684,0.994555967,5899300,58993,2223,2303,433.2676566,178.8889907,14.62,53.92
Corydalis paczoskii,ESM.bin,1,6,42600,30.45032166,4.29E-05,2680,0.01915654,3.19047619,0.11150822,7100,5384.793404,2700,15600,1.493,0.071669575,0.015903352,0.047058824,0.088888889,1.335,0.285198489,1.076923077,1.8,1.060964744,0.039690977,1.022772069,1.121923503,19700,0.140814868,3283.333333,3119.241361,800,7800,0.728194726,88.64197531,0.977138781,43.74220007,3198.284489,0.917709837,139900,1399,321,446,196.0598999,20.21261188,33.95,46.27
Corydalis paczoskii,ESM70.bin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6781200,67812,321,446,196.0598999,20.21261188,33.95,46.27
Corydalis paczoskii,SDM.bin,1,6,37100,26.46219686,4.28E-05,2380,0.016975749,3.051282051,0.091298146,6183.333333,4808.915332,2700,12800,1.486,0.07314985,0.016220989,0.047058824,0.088888889,1.268,0.278772066,1.076923077,1.782608696,1.049823362,0.038739449,1.022772069,1.125705225,16700,0.119115549,2783.333333,2716.186052,800,6700,0.723577236,88.62019915,0.982446617,56.96907515,2460.984308,0.910806107,140200,1402,321,446,196.0598999,20.21261188,33.95,46.27
Corydalis paczoskii,Occurrence,1,6,30500,22.10144928,4.35E-05,1960,0.014202899,2.8,0.086231884,5083.333333,3571.787601,2700,11900,1.213,0.073980703,0.018812328,0.047058824,0.088888889,1.185,0.143478827,1,1.384615385,1.039151513,0.024709707,1.007418635,1.078723738,13900,0.100724638,2316.666667,2331.022665,800,6700,0.723163842,89.04347826,0.988509242,87.0264589,1585.724638,0.890914901,138000,1380,321,446,196.0598999,20.21261188,33.95,46.27
Corydalis paczoskii,SDM70.bin,1,4,34100,3.46579937,4.07E-06,2220,0.002256327,3,0.021953451,8525,8917.165095,2200,21600,1.677,0.073508091,0.013050677,0.059259259,0.090909091,1.448,0.515749254,1,2.133333333,1.069732968,0.065985581,1.016609906,1.155924194,15100,0.015347088,3775,4500.648101,600,10400,0.720050441,88.52713178,0.999453288,1829.115182,537.9103567,0.921329727,983900,9839,321,446,196.0598999,20.21261188,33.95,46.27
Corydalis parnassica,ESM.bin,1,2,22600,55.80246914,4.94E-05,1120,0.027654321,1.806451613,0.466666667,11300,10748.02307,3700,18900,1.233,0.062233662,0.026654275,0.043386243,0.081081081,1.362,0.219513918,1.153846154,1.464285714,1.066068236,0.021332487,1.05098389,1.081152582,12700,0.313580247,6350,7283.199846,1200,11500,0.779527559,94.06175772,0.773875934,4.422351038,9158.024691,0.962308002,40500,405,55,157,474.0682659,26.40302488,22.15,38.615
Corydalis parnassica,ESM70.bin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6781200,67812,55,157,474.0682659,26.40302488,22.15,38.615
Corydalis parnassica,SDM.bin,1,2,19900,54.52054795,5.48E-05,1020,0.027945205,1.75862069,0.443835616,9950,8838.834765,3700,16200,1.186,0.062762763,0.025906014,0.044444444,0.081081081,1.324,0.163178488,1.153846154,1.384615385,1.061247845,0.014515425,1.05098389,1.0715118,11000,0.301369863,5500,6081.118318,1200,9800,0.772828508,94.03794038,0.792734096,4.82472024,7565.205479,0.957285976,36500,365,55,157,474.0682659,26.40302488,22.15,38.615
Corydalis parnassica,Occurrence,1,2,19900,54.52054795,5.48E-05,1020,0.027945205,1.75862069,0.443835616,9950,8838.834765,3700,16200,1.186,0.062762763,0.025906014,0.044444444,0.081081081,1.324,0.163178488,1.153846154,1.384615385,1.061247845,0.014515425,1.05098389,1.0715118,11000,0.301369863,5500,6081.118318,1200,9800,0.772828508,94.03794038,0.792734096,4.82472024,7565.205479,0.957285976,36500,365,55,157,474.0682659,26.40302488,22.15,38.615
Corydalis parnassica,SDM70.bin,1,7,212200,22.73409042,7.50E-06,5920,0.006342404,3.182795699,0.186950932,30314.28571,63636.8978,3000,174500,1.397,0.055945076,0.017406895,0.021318052,0.073333333,1.309,0.424887532,1,2.214285714,1.045314928,0.045995537,1.001036525,1.132620678,155900,0.167023784,22271.42857,50920.84427,1200,137700,0.869603524,95.10961214,0.964727542,28.35073162,32923.31262,0.976017617,933400,9334,55,157,474.0682659,26.40302488,22.15,38.615
Corydalis pumila,ESM.bin,1,9,2264200,54.24013032,2.16E-06,35920,0.008604829,5.966777409,0.516840744,251577.7778,714809.9236,100,2157500,1.329,0.112633609,0.137791812,0.014331402,0.4,1.846,1.353271663,1,5.258503401,1.08398291,0.073786198,1,1.227726458,1909300,0.457383097,212144.4444,613419.078,0,1847800,0.923704333,96.67652224,0.732735509,3.7416119,1115668.891,0.997089157,4174400,41744,1301,1390,343.7839402,152.6541357,15.35,52.1
Corydalis pumila,ESM70.bin,1,35,1624000,29.20075519,6.29E-06,42340,0.007613054,8.301960784,0.194264137,46400,181613.9814,300,1080400,1.435,0.060647449,0.039708305,0.019363199,0.266666667,1.401,0.719915917,1,5.028846154,1.053051562,0.050752908,1.00524487,1.232601165,1219800,0.219329318,34851.42857,147050.8243,0,873300,0.877619447,94.22187742,0.961306616,25.84421125,215193.2572,0.987588985,5561500,55615,1301,1390,343.7839402,152.6541357,15.35,52.1
Corydalis pumila,SDM70.bin,1,27,1679700,25.06865262,4.03E-06,38160,0.005695182,7.338461538,0.158408453,62211.11111,203843.2794,2800,1061400,1.483,0.048799091,0.017638653,0.017260222,0.078571429,1.414,0.707797189,1,4.425120773,1.050214371,0.056741334,1.000390258,1.215047772,1312400,0.195868903,48607.40741,169145.2265,1000,878400,0.892513098,95.05609888,0.973608628,37.89117144,176832.7488,0.98737438,6700400,67004,1301,1390,343.7839402,152.6541357,15.35,52.1
Corydalis pumila,SDM.bin,1,15,1611300,46.86327546,4.36E-06,30280,0.008806678,5.960629921,0.413750982,107420,364793.9207,100,1422600,1.389,0.081230798,0.090804257,0.016209757,0.4,1.423,1.011751032,1,4.824267782,1.039896582,0.064631821,1,1.222411409,1316100,0.382776372,87740,306338.1577,0,1192900,0.91025489,96.05905167,0.827766338,5.806065963,592190.9985,0.994883675,3438300,34383,1301,1390,343.7839402,152.6541357,15.35,52.1
Corydalis pumila,Occurrence,1,18,528800,23.8305543,8.11E-06,19060,0.008589455,6.52739726,0.094727355,29377.77778,52479.58209,2400,210200,1.523,0.057698593,0.020216631,0.027598566,0.083333333,1.49,0.694501881,1,3.510869565,1.06115913,0.06522058,1.003635775,1.205483339,351100,0.158224425,19505.55556,37590.69773,800,148000,0.834677769,92.26270374,0.987336459,78.96685707,28100.39658,0.970976819,2219000,22190,1301,1390,343.7839402,152.6541357,15.35,52.1
Corydalis solida ssp. incisa,SDM.bin,1,11,340800,6.311344865,2.04E-06,9320,0.00172599,3.982905983,0.048501796,30981.81818,76856.8646,1900,261900,1.308,0.076428225,0.050376734,0.017411226,0.208695652,1.512,0.481859894,1.066666667,2.4,1.080813795,0.065910986,1.017596498,1.236971788,256500,0.047501759,23318.18182,64417.8208,0,217100,0.872013183,94.7902672,0.997612019,418.7637288,12894.62202,0.970844047,5399800,53998,583,1003,452.4818231,28.85613606,21.85,39.07
Corydalis solida ssp. incisa,ESM.bin,1,15,555000,42.81086085,1.16E-05,14540,0.011215674,4.879194631,0.269129898,37000,88863.94094,1900,348900,1.389,0.064543468,0.026996636,0.016967612,0.105263158,1.367,0.522967255,1,2.487394958,1.049063948,0.054169941,1,1.150140286,418700,0.322971305,27913.33333,74171.74921,300,290900,0.877060962,94.7219432,0.922000435,12.8205843,101118.6362,0.97978675,1296400,12964,583,1003,452.4818231,28.85613606,21.85,39.07
Corydalis solida ssp. incisa,Occurrence,1,5,176400,4.907770637,1.39E-06,5240,0.001457864,3.119047619,0.046629385,35280,73986.26224,200,167600,1.293,0.136625112,0.116799763,0.026372315,0.3,1.538,0.733687869,1,2.695121951,1.076907305,0.082835655,1.003452094,1.169300669,126900,0.035305901,25380,55023.92207,0,123800,0.861741425,94.85913448,0.997823417,459.4357209,7823.292435,0.976831457,3594300,35943,583,1003,452.4818231,28.85613606,21.85,39.07
Corydalis solida ssp. incisa,ESM70.bin,1,19,717000,37.77461672,1.00E-05,20180,0.010631684,5.935294118,0.199884095,37736.84211,86394.43276,1900,379400,1.454,0.053056645,0.021879344,0.016816025,0.105263158,1.428,0.559175842,1,2.955223881,1.057076263,0.055694281,1.001036525,1.188508854,526800,0.277540699,27726.31579,71889.23457,300,316400,0.868525637,94.07904023,0.95519873,22.32079599,85037.28992,0.976496915,1898100,18981,583,1003,452.4818231,28.85613606,21.85,39.07
Corydalis solida ssp. incisa,SDM70.bin,1,22,663000,9.857123742,3.27E-06,22380,0.003327337,6.865030675,0.050668292,30136.36364,71622.79197,1800,340800,1.475,0.062833469,0.025403283,0.021948357,0.133333333,1.522,0.58811799,1,3.196581197,1.071494096,0.060296,1,1.182771568,455900,0.067780735,20722.72727,56769.26509,0,269000,0.844356353,92.70061846,0.997177154,354.2524717,18986.7412,0.970576607,6726100,67261,583,1003,452.4818231,28.85613606,21.85,39.07
Corydalis uniflora,ESM.bin,1,1,18200,100,5.49E-05,620,0.034065934,1.148148148,1,18200,NA,18200,18200,NA,0.034065934,NA,0.034065934,0.034065934,1.149,NA,1.148148148,1.148148148,1.028307509,NA,1.028307509,1.028307509,12600,0.692307692,12600,NA,12600,12600,0.843037975,98.81305638,0,1,18200,1,18200,182,3,54,409.0831296,8.524547874,24.8,35.435
Corydalis uniflora,ESM70.bin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1898100,18981,3,54,409.0831296,8.524547874,24.8,35.435
Corydalis uniflora,SDM70.bin,1,5,148800,24.28991185,8.16E-06,5180,0.008455762,3.320512821,0.120470127,29760,27954.48086,2500,73800,1.366,0.048943296,0.021508445,0.027642276,0.08,1.539,0.334814584,1,1.854545455,1.079036367,0.046073584,1,1.112382427,1.00E+05,0.163238655,20000,21218.97736,900,54200,0.839876352,93.75431332,0.979870697,49.67881813,12331.21123,0.962526886,612600,6126,3,54,409.0831296,8.524547874,24.8,35.435
Corydalis uniflora,Occurrence,1,1,18200,100,5.49E-05,620,0.034065934,1.148148148,1,18200,NA,18200,18200,NA,0.034065934,NA,0.034065934,0.034065934,1.149,NA,1.148148148,1.148148148,1.028307509,NA,1.028307509,1.028307509,12600,0.692307692,12600,NA,12600,12600,0.843037975,98.81305638,0,1,18200,1,18200,182,3,54,409.0831296,8.524547874,24.8,35.435
Corydalis uniflora,SDM.bin,1,1,18200,100,5.49E-05,620,0.034065934,1.148148148,1,18200,NA,18200,18200,NA,0.034065934,NA,0.034065934,0.034065934,1.149,NA,1.148148148,1.148148148,1.028307509,NA,1.028307509,1.028307509,12600,0.692307692,12600,NA,12600,12600,0.843037975,98.81305638,0,1,18200,1,18200,182,3,54,409.0831296,8.524547874,24.8,35.435
Crambe aspera,Occurrence,1,11,74800,8.26428019,1.22E-05,3960,0.004375207,3.6,0.035355209,6800,8650.549116,2000,32000,1.375,0.067384554,0.017149468,0.038125,0.1,1.124,0.208266687,1,1.694444444,1.022554122,0.03040742,1.001036525,1.102871093,39700,0.043862557,3609.090909,5666.82531,500,20200,0.766233766,90.07633588,0.998465636,651.7359423,1388.752624,0.911983551,905100,9051,499,980,115.3655114,190.1068214,37.34,45.83
Crambe aspera,SDM.bin,1,12,544900,35.01028013,7.71E-06,17080,0.010974043,5.77027027,0.303456695,45408.33333,134485.1087,2900,472300,1.634,0.062683875,0.015445827,0.026381537,0.082758621,1.541,1.001773664,1,4.514492754,1.061124155,0.073248896,1.001036525,1.231344331,384200,0.246851709,32016.66667,100472.5547,1000,351000,0.854663036,93.43255814,0.907656271,10.82910572,143723.7792,0.988890512,1556400,15564,499,980,115.3655114,190.1068214,37.34,45.83
Crambe aspera,ESM.bin,1,3,1091200,72.16453938,1.98E-06,11200,0.007406918,2.679425837,0.711791548,363733.3333,617102.7818,5900,1076300,1.203,0.049493015,0.0350392,0.009458329,0.074576271,1.805,0.580258529,1.375,2.447115385,1.101710319,0.024391568,1.082722249,1.129219305,981900,0.649361815,327300,561444.9127,2300,975600,0.94996426,98.37612769,0.493302141,1.973562712,766177.8322,0.997596301,1512100,15121,499,980,115.3655114,190.1068214,37.34,45.83
Crambe aspera,SDM70.bin,1,21,1673600,33.6848885,4.23E-06,30720,0.006183077,5.930501931,0.250825215,79695.2381,272238.8831,1600,1246200,1.431,0.059700041,0.023258834,0.012742738,0.1,1.42,0.691053247,1,3.544642857,1.050959831,0.058593181,1,1.1807854,1377800,0.277312616,65609.52381,237880.8061,400,1089100,0.912248629,96.15511998,0.934548988,15.27860254,325186.8086,0.9902605,4968400,49684,499,980,115.3655114,190.1068214,37.34,45.83
Crambe aspera,ESM70.bin,1,6,831400,45.61865569,3.29E-06,16900,0.009272977,4.617486339,0.428971193,138566.6667,315250.6537,1900,781800,1.425,0.064960021,0.031483562,0.018060885,0.105263158,1.864,1.087541135,1.1,3.988700565,1.096272556,0.065691259,1.0243634,1.204044498,667700,0.366364883,111283.3333,260257.7677,400,642400,0.903279345,95.97446032,0.815710357,5.426240918,335867.8738,0.994169484,1822500,18225,499,980,115.3655114,190.1068214,37.34,45.83
Delphinium cuneatum,ESM.bin,1,3,1569300,69.39813382,1.33E-06,12300,0.005439349,2.450199203,0.686463539,523100,891329.1031,3200,1552300,1.231,0.044826401,0.034440281,0.007305289,0.075,1.623,0.638702852,1,2.268,1.073159737,0.052336421,1.014593533,1.11535023,1445600,0.639278291,481866.6667,827434.797,1200,1437300,0.961563701,98.8308977,0.528728565,2.121919398,1065686.096,0.997990983,2261300,22613,317,340,57.07746709,646.5739835,41.49,52.57
Delphinium cuneatum,SDM70.bin,1,15,1089600,30.09279717,4.14E-06,23880,0.006595228,5.71291866,0.246105833,72640,227169.0239,2000,891100,1.486,0.056970155,0.021234821,0.017124902,0.1,1.491,0.814543818,1,4.037037037,1.058086139,0.062366726,1.001036525,1.203878595,861000,0.237792753,57400,189531.1019,500,740900,0.896110676,95.43622295,0.938854502,16.35443377,221395.6198,0.99006696,3620800,36208,317,340,57.07746709,646.5739835,41.49,52.57
Delphinium cuneatum,ESM70.bin,1,8,920600,32.42691088,2.82E-06,14180,0.004994716,3.692708333,0.312680521,115075,312197.2991,2000,887700,1.398,0.061475801,0.024725996,0.013720852,0.09,1.339,0.772005941,1,3.222222222,1.034595588,0.056636774,1.000390258,1.171295019,783500,0.275977457,97937.5,270670.131,600,767800,0.925840699,97.16245884,0.902206471,10.22562544,277635.8295,0.993693033,2839000,28390,317,340,57.07746709,646.5739835,41.49,52.57
Delphinium cuneatum,Occurrence,1,13,414000,34.96031076,1.10E-05,14640,0.012362777,5.674418605,0.167708157,31846.15385,55046.91356,2500,198600,1.536,0.054829031,0.018410603,0.027693857,0.088,1.526,0.656162686,1,3.055555556,1.067094349,0.062258176,1.000390258,1.184716872,277800,0.234588752,21369.23077,40634.80414,800,146100,0.837549933,92.60213471,0.964668607,28.30344087,41839.43591,0.973509015,1184200,11842,317,340,57.07746709,646.5739835,41.49,52.57
Delphinium cuneatum,SDM.bin,1,1,1300500,72.21790315,5.55E-07,13280,0.0073745,2.899563319,0.722179032,1300500,NA,1300500,1300500,NA,0.010211457,NA,0.010211457,0.010211457,2.911,NA,2.899563319,2.899563319,1.151807173,NA,1.151807173,1.151807173,1167900,0.648545091,1167900,NA,1167900,1167900,0.950213691,98.31271091,0.478457446,1.917389086,939193.8305,0.998673122,1800800,18008,317,340,57.07746709,646.5739835,41.49,52.57
Delphinium dubium,ESM.bin,1,4,38700,35.80018501,3.70E-05,1580,0.014616096,1.975,0.287696577,9675,14310.45655,1300,31100,1.175,0.075001424,0.037713624,0.030868167,0.123076923,1.13,0.166666667,1,1.333333333,1.025077935,0.025747288,1.001036525,1.059576312,24500,0.226641998,6125,10530.70906,100,21900,0.814771395,94.6866485,0.915383964,11.8180908,9146.993525,0.950257339,108100,1081,150,339,766.3820503,114.7756243,7.395,44.91
Delphinium dubium,SDM.bin,1,4,36300,33.5800185,3.70E-05,1600,0.01480111,2.051282051,0.265494912,9075,13112.9389,1300,28700,1.176,0.079492905,0.043516323,0.033449477,0.138461538,1.178,0.194204433,1,1.411764706,1.035363932,0.034354382,1.001036525,1.067866443,22100,0.204440333,5525,9332.514845,100,19500,0.801488834,94.03202329,0.927665736,13.8247069,7819.33395,0.946727027,108100,1081,150,339,766.3820503,114.7756243,7.395,44.91
Delphinium dubium,ESM70.bin,1,1,2700,100,0.00037037,220,0.081481481,1,1,2700,NA,2700,2700,NA,0.081481481,NA,0.081481481,0.081481481,1.058,NA,1,1,1.014385422,NA,1.014385422,1.014385422,900,0.333333333,900,NA,900,900,0.661538462,100,0,1,2700,1,2700,27,150,339,766.3820503,114.7756243,7.395,44.91
Delphinium dubium,Occurrence,1,4,36300,33.5800185,3.70E-05,1600,0.01480111,2.051282051,0.265494912,9075,13112.9389,1300,28700,1.176,0.079492905,0.043516323,0.033449477,0.138461538,1.178,0.194204433,1,1.411764706,1.035363932,0.034354382,1.001036525,1.067866443,22100,0.204440333,5525,9332.514845,100,19500,0.801488834,94.03202329,0.927665736,13.8247069,7819.33395,0.946727027,108100,1081,150,339,766.3820503,114.7756243,7.395,44.91
Delphinium dubium,SDM70.bin,1,3,23100,6.074151985,7.89E-06,1180,0.003102814,1.903225806,0.027872732,7700,3724.24489,3500,10600,0.799,0.058816013,0.023992375,0.039622642,0.085714286,1.167,0.134399592,1,1.25,1.034884625,0.027698601,1.00424135,1.058140668,12700,0.033394688,4233.333333,2956.912804,1000,6800,0.773512476,93.50348028,0.998578354,703.409805,540.6521167,0.901844989,380300,3803,150,339,766.3820503,114.7756243,7.395,44.91
