Species,Model,class,n.patches,total.area,prop.landscape,patch.density,total.edge,edge.density,landscape.shape.index,largest.patch.index,mean.patch.area,sd.patch.area,min.patch.area,max.patch.area,perimeter.area.frac.dim,mean.perim.area.ratio,sd.perim.area.ratio,min.perim.area.ratio,max.perim.area.ratio,mean.shape.index,sd.shape.index,min.shape.index,max.shape.index,mean.frac.dim.index,sd.frac.dim.index,min.frac.dim.index,max.frac.dim.index,total.core.area,prop.landscape.core,mean.patch.core.area,sd.patch.core.area,min.patch.core.area,max.patch.core.area,prop.like.adjacencies,aggregation.index,lanscape.division.index,splitting.index,effective.mesh.size,patch.cohesion.index,range.size,n.cells,nwidth_mcp,nwidth_kd,sd.elev,sp.dist.equal.mean,median.long,median.lat
Abies cephalonica,ESM70.bin,1,14,454000,38.78021696,1.20E-05,12280,0.010489451,4.548148148,0.265140514,32428.57143,80667.91783,1900,310400,1.373,0.060164404,0.023370575,0.017332474,0.105263158,1.366,0.40989026,1,2.401785714,1.054363022,0.046914206,1.001036525,1.139390708,339100,0.289655762,24221.42857,67604.78111,300,257900,0.873323705,94.6450531,0.927533856,13.79954749,84836.11514,0.97728341,1170700,11707,154,261,441.3950742,26.67326406,22.43,38.59
Abies cephalonica,Occurrence,1,5,83800,51.66461159,3.08E-05,2880,0.017755857,2.482758621,0.4297164,16760,29716.12357,100,69700,1.184,0.129530733,0.153780219,0.028120516,0.4,1.235,0.367819061,1,1.849056604,1.036586895,0.04445289,1,1.110909264,57300,0.353267571,11460,22095.76883,0,50900,0.841758242,94.68479604,0.812356607,5.32925772,30435.75832,0.974562355,162200,1622,154,261,441.3950742,26.67326406,22.43,38.59
Abies cephalonica,SDM.bin,1,5,96300,54.22297297,2.82E-05,3160,0.017792793,2.507936508,0.49268018,19260,38169.39874,100,87500,1.235,0.132185628,0.1514674,0.028114286,0.4,1.233,0.469574275,1,2.05,1.029947797,0.055571789,1,1.128640458,66600,0.375,13320,27945.60788,0,63300,0.848368522,94.9006978,0.756438766,4.105743685,43256.47523,0.981922881,177600,1776,154,261,441.3950742,26.67326406,22.43,38.59
Aconitum degenii,ESM.bin,1,8,936900,41.16794094,3.52E-06,22020,0.009675718,5.675257732,0.293962563,117112.5,226743.048,2800,669000,1.515,0.046123061,0.022978016,0.020119581,0.078571429,1.874,1.080028291,1,4.103658537,1.086839178,0.080274842,1.001036525,1.210893417,724800,0.318481413,90600,183344.2585,1000,537600,0.889006502,95.10893011,0.909328928,11.02887584,206349.2266,0.989850949,2275800,22758,802,1053,632.7755517,226.7470538,13.695,46.24
Aconitum degenii,Occurrence,1,5,294300,36.27064333,6.16E-06,6700,0.008257333,3.073394495,0.183386739,58860,60215.59599,3500,148800,1.276,0.03953652,0.023646506,0.018548387,0.068571429,1.444,0.321992512,1,1.769230769,1.063292107,0.038291406,1.003452094,1.097648178,229000,0.282228247,45800,49813.10069,1500,121700,0.892300273,96.08793491,0.95165914,20.68643384,39223.77372,0.977026141,811400,8114,802,1053,632.7755517,226.7470538,13.695,46.24
Aconitum degenii,SDM.bin,1,19,849400,18.98058144,4.25E-06,19700,0.004402136,5.324324324,0.129650734,44705.26316,130470.5266,2400,580200,1.362,0.05540938,0.02347839,0.015684247,0.083333333,1.352,0.468484212,1,2.973856209,1.050094437,0.045826816,1.001036525,1.164894988,661000,0.147706197,34789.47368,110727.4577,800,490000,0.890391142,95.23894543,0.982803867,58.15260935,76954.41443,0.981430835,4475100,44751,802,1053,632.7755517,226.7470538,13.695,46.24
Aconitum degenii,ESM70.bin,1,30,583700,14.88461048,7.65E-06,19360,0.004936886,6.326797386,0.074792809,19456.66667,53058.62524,900,293300,1.383,0.06293865,0.028160629,0.017729287,0.177777778,1.282,0.364279883,1,2.385321101,1.045114927,0.044036972,1.001036525,1.152752063,406400,0.103633814,13546.66667,43895.33581,0,242200,0.846859674,92.92596129,0.993952582,165.3598372,23714.94836,0.962873436,3921500,39215,802,1053,632.7755517,226.7470538,13.695,46.24
Aconitum degenii,SDM70.bin,1,37,1038400,12.39466208,4.42E-06,27700,0.003306357,6.789215686,0.051481296,28064.86486,82152.13602,1600,431300,1.343,0.058596437,0.02183532,0.01529288,0.1,1.267,0.376318275,1,3.007575758,1.042110899,0.038722136,1,1.17050207,779300,0.093019647,21062.16216,68460.77284,400,353200,0.874960502,94.2569539,0.996123163,257.9422579,32479.36212,0.973219491,8377800,83778,802,1053,632.7755517,226.7470538,13.695,46.24
Aconitum lycoctonum ssp. lasiostomum,SDM70.bin,1,48,2653000,21.46283847,3.88E-06,60840,0.004921972,9.331288344,0.101934325,55270.83333,186596.6579,1900,1260000,1.404,0.054231323,0.023010105,0.014238095,0.105263158,1.422,0.609774525,1,3.986666667,1.055718082,0.050848454,1,1.206772586,2072300,0.167649605,43172.91667,159657.5734,300,1083400,0.891554668,94.84962263,0.988329913,85.68916162,144252.7826,0.983933539,12360900,123609,605,445,137.9249,495.0218091,34.83,52.57
Aconitum lycoctonum ssp. lasiostomum,Occurrence,1,17,406500,21.04908865,8.80E-06,14360,0.007435791,5.609375,0.108688898,23911.76471,49550.81839,100,209900,1.351,0.078405977,0.085112886,0.023916151,0.4,1.408,0.513406387,1,2.72826087,1.056687864,0.056753846,1,1.164463166,274200,0.141984258,16129.41176,38288.62045,0,161300,0.837703436,92.62684329,0.986860375,76.10567401,25375.24337,0.967252145,1931200,19312,605,445,137.9249,495.0218091,34.83,52.57
